uuid,image1_index,image2_index,pair_id,method,x1,y1,x2,y2,confidence,r11,r12,r13,tx,r21,r22,r23,ty,r31,r32,r33,tz,h41,h42,h43,h44
f69b7030-5792-47a2-8074-2475ae624b06,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,175.2212371826172,581.4159545898438,64.81587982177734,607.82666015625,0.9544734358787537,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
3b1e9124-50ff-43dd-902a-92993265a524,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,175.2212371826172,573.4513549804688,63.6978874206543,598.7885131835938,0.9469643831253052,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
2d51fc08-24f3-4e8f-b1e7-ad40df6a7247,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,135.3982391357422,645.1327514648438,23.82640266418457,678.365478515625,0.945440948009491,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
af3bb516-ca11-401e-b922-627199570259,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,167.2566375732422,629.2035522460938,56.501407623291016,660.8446044921875,0.9403123259544373,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
1dc7d0c6-1854-441a-8d4c-25c103e4134e,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,167.2566375732422,676.9911499023438,64.87677001953125,708.60693359375,0.936978816986084,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
4e9d91d8-1842-47a4-9072-0215ff0c6998,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,151.3274383544922,517.6991577148438,39.234161376953125,550.169921875,0.917339563369751,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
a37c93db-3a16-4b87-90c8-06c1a249c78d,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,175.2212371826172,629.2035522460938,63.56191635131836,660.9505004882812,0.906301736831665,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
1a087a14-49e6-41a8-8a64-dae7fed70c78,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,159.2920379638672,676.9911499023438,55.985572814941406,708.0704956054688,0.9037508964538574,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
581cb10b-5cae-4c9d-88af-77236618e3ba,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,151.3274383544922,605.3097534179688,39.553688049316406,636.2424926757812,0.9022597074508667,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
ff1526a0-5715-41c2-b038-59643a043bc8,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,159.2920379638672,684.9557495117188,54.26908874511719,715.974365234375,0.894469678401947,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
