uuid,image1_index,image2_index,pair_id,x1,y1,x2,y2,r11,r12,r13,tx,r21,r22,r23,ty,r31,r32,r33,tz,h41,h42,h43,h44
d563148c-b237-468a-872a-5c504083cd89,1,2,image_0005_image_0006,39.8230094909668,15.929203987121582,37.95420455932617,24.771827697753906,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
d5206f4a-34d6-4dea-9d31-66da340f9836,1,2,image_0005_image_0006,47.78761291503906,15.929203987121582,45.90512466430664,25.75858497619629,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
3250a502-3c51-49ab-aede-1a865f2de6dd,1,2,image_0005_image_0006,119.46903228759766,15.929203987121582,120.04942321777344,16.156116485595703,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
291c1be0-3954-4a13-be3c-c0e7a4d2d000,1,2,image_0005_image_0006,127.43363189697266,15.929203987121582,128.55128479003906,14.736140251159668,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
8b394657-3c22-4d8e-bdbf-83e976e90f48,1,2,image_0005_image_0006,135.3982391357422,15.929203987121582,135.899658203125,15.211609840393066,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
62d2cb85-8d9d-4d39-9f12-f583bc957bcb,1,2,image_0005_image_0006,143.3628387451172,15.929203987121582,141.58175659179688,16.113739013671875,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
1a01fcd2-99e4-4334-bf18-c906cb859b73,1,2,image_0005_image_0006,159.2920379638672,15.929203987121582,158.4468994140625,25.16350555419922,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
6cb5d63c-c81b-4de5-a5fd-0eff98c9ad70,1,2,image_0005_image_0006,167.2566375732422,15.929203987121582,167.5917510986328,16.466928482055664,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
2c472c04-c253-48e9-a700-d7656e4b703c,1,2,image_0005_image_0006,39.8230094909668,23.89380645751953,40.62339782714844,33.01731872558594,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
5e6eef51-c369-46f0-929e-2bf6af8f8603,1,2,image_0005_image_0006,47.78761291503906,23.89380645751953,48.02060317993164,32.7348518371582,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
f00ca5cd-056b-49fe-b006-d3268b924f78,1,2,image_0005_image_0006,135.3982391357422,23.89380645751953,135.5717010498047,21.651348114013672,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
90623d09-2c4e-4e24-b794-83711187d1e7,1,2,image_0005_image_0006,159.2920379638672,23.89380645751953,156.7870330810547,31.041370391845703,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
d61813c0-ad5a-4c95-9ee9-6e1946100533,1,2,image_0005_image_0006,159.2920379638672,31.858407974243164,158.93116760253906,40.286285400390625,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
7832a08d-a28e-437b-827d-c57490a98aa5,1,2,image_0005_image_0006,39.8230094909668,55.75221252441406,40.18816375732422,54.77623748779297,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
40114a12-21e3-4ff1-96af-0336d9d4dd4c,1,2,image_0005_image_0006,23.89380645751953,63.71681594848633,22.46215057373047,33.741485595703125,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
4087ebf1-79f4-4dc7-8786-7408334c7c10,1,2,image_0005_image_0006,31.858407974243164,63.71681594848633,30.135009765625,63.82000732421875,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
75c470f0-fd2b-4e51-b29e-6e83fde84d86,1,2,image_0005_image_0006,39.8230094909668,63.71681594848633,41.02491760253906,65.9505386352539,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
b9dfa037-b135-42c0-8215-f300c80286d5,1,2,image_0005_image_0006,23.89380645751953,71.6814193725586,31.715896606445312,71.0923080444336,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
8f75b597-0316-498e-8a63-49cb8d202cdf,1,2,image_0005_image_0006,103.53982543945312,71.6814193725586,102.63056945800781,55.45935821533203,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
0b7ac4df-6489-4795-8bdc-da5611242d99,1,2,image_0005_image_0006,151.3274383544922,79.6460189819336,151.8241729736328,48.254398345947266,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
970b3a86-8cc4-40d4-9b59-117e373c44e6,1,2,image_0005_image_0006,23.89380645751953,87.6106185913086,77.02567291259766,121.41620635986328,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
d7013001-ac90-47dd-9aa1-c863e7693b21,1,2,image_0005_image_0006,71.6814193725586,103.53982543945312,97.5333251953125,157.25413513183594,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
6fe34a37-d47f-4b34-b25b-bc3a5370eb36,1,2,image_0005_image_0006,111.50442504882812,103.53982543945312,135.406982421875,111.80462646484375,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
d9321633-c9ae-4f68-bbb7-4643aed32a9e,1,2,image_0005_image_0006,71.6814193725586,111.50442504882812,95.9400405883789,166.80572509765625,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
d91db6d1-23c2-4450-94db-0732639c0032,1,2,image_0005_image_0006,111.50442504882812,111.50442504882812,136.4036102294922,117.45664978027344,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
afd34a9b-495f-40d7-b392-223eb64ca354,1,2,image_0005_image_0006,175.2212371826172,127.43363189697266,151.3262939453125,150.42086791992188,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
89de1d72-4544-412e-ae5a-6c23c00298e8,1,2,image_0005_image_0006,103.53982543945312,151.3274383544922,103.2016372680664,105.05509948730469,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
9b2838b7-ee30-4362-8826-ab0915a5c2be,1,2,image_0005_image_0006,63.71681594848633,159.2920379638672,16.639123916625977,161.0259552001953,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
1d20ef36-7e1f-4aa5-a2be-282ab419415d,1,2,image_0005_image_0006,95.57522583007812,159.2920379638672,94.19474792480469,231.68789672851562,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
9cc20ad7-85b9-44df-b073-34abdba3c259,1,2,image_0005_image_0006,15.929203987121582,183.18585205078125,15.126106262207031,173.50790405273438,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
2c0b8a2f-1f0a-406c-b3fa-0660469c8f89,1,2,image_0005_image_0006,87.6106185913086,215.04425048828125,88.07615661621094,285.1214294433594,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
5f3a5514-02c7-485f-9766-13c137452751,1,2,image_0005_image_0006,167.2566375732422,238.9380645751953,174.49386596679688,237.9943389892578,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
82cd9ed9-3207-472b-a635-70f3da0cd774,1,2,image_0005_image_0006,71.6814193725586,246.9026641845703,93.49956512451172,196.59136962890625,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
