uuid,image1_index,image2_index,pair_id,x1,y1,x2,y2,r11,r12,r13,tx,r21,r22,r23,ty,r31,r32,r33,tz,h41,h42,h43,h44
a39a94aa-6b45-45e4-b0d7-f57c8abf702e,3,4,image_0007_image_0008,135.3982391357422,15.929203987121582,112.00753784179688,15.584321975708008,0.9997398994350366,0.001177845377589181,7.023909274662049,7.023909274662049,0.005705003680614227,0.9955291237224065,1.3086618008068573,1.3086618008068573,8.359289189100185e-06,-3.5117271934630704e-06,1.0,1.0,0.0,0.0,0.0,1.0
fcbcdf56-4104-469f-832b-d730b25a0410,3,4,image_0007_image_0008,47.78761291503906,39.8230094909668,47.6565055847168,58.004188537597656,0.9997398994350366,0.001177845377589181,7.023909274662049,7.023909274662049,0.005705003680614227,0.9955291237224065,1.3086618008068573,1.3086618008068573,8.359289189100185e-06,-3.5117271934630704e-06,1.0,1.0,0.0,0.0,0.0,1.0
81881de1-b21c-4bd4-8a06-2ec440e9fde2,3,4,image_0007_image_0008,63.71681594848633,47.78761291503906,55.73230743408203,15.515429496765137,0.9997398994350366,0.001177845377589181,7.023909274662049,7.023909274662049,0.005705003680614227,0.9955291237224065,1.3086618008068573,1.3086618008068573,8.359289189100185e-06,-3.5117271934630704e-06,1.0,1.0,0.0,0.0,0.0,1.0
9ef74bbb-b002-439a-bcd0-bb0419f45107,3,4,image_0007_image_0008,111.50442504882812,47.78761291503906,110.64237213134766,103.61309814453125,0.9997398994350366,0.001177845377589181,7.023909274662049,7.023909274662049,0.005705003680614227,0.9955291237224065,1.3086618008068573,1.3086618008068573,8.359289189100185e-06,-3.5117271934630704e-06,1.0,1.0,0.0,0.0,0.0,1.0
aa6f75a9-727f-4623-9203-0d7964c90e61,3,4,image_0007_image_0008,15.929203987121582,63.71681594848633,72.6138687133789,81.20994567871094,0.9997398994350366,0.001177845377589181,7.023909274662049,7.023909274662049,0.005705003680614227,0.9955291237224065,1.3086618008068573,1.3086618008068573,8.359289189100185e-06,-3.5117271934630704e-06,1.0,1.0,0.0,0.0,0.0,1.0
9b9f166a-6bca-40f3-8b68-5b3339d30bac,3,4,image_0007_image_0008,31.858407974243164,63.71681594848633,56.763851165771484,23.1907901763916,0.9997398994350366,0.001177845377589181,7.023909274662049,7.023909274662049,0.005705003680614227,0.9955291237224065,1.3086618008068573,1.3086618008068573,8.359289189100185e-06,-3.5117271934630704e-06,1.0,1.0,0.0,0.0,0.0,1.0
71b60abb-6285-4e28-a90a-a1143d9a0829,3,4,image_0007_image_0008,15.929203987121582,71.6814193725586,71.47078704833984,89.7403335571289,0.9997398994350366,0.001177845377589181,7.023909274662049,7.023909274662049,0.005705003680614227,0.9955291237224065,1.3086618008068573,1.3086618008068573,8.359289189100185e-06,-3.5117271934630704e-06,1.0,1.0,0.0,0.0,0.0,1.0
1398e8df-1a86-4742-a172-89d03424dc28,3,4,image_0007_image_0008,103.53982543945312,103.53982543945312,56.6485710144043,158.3275604248047,0.9997398994350366,0.001177845377589181,7.023909274662049,7.023909274662049,0.005705003680614227,0.9955291237224065,1.3086618008068573,1.3086618008068573,8.359289189100185e-06,-3.5117271934630704e-06,1.0,1.0,0.0,0.0,0.0,1.0
dad79cae-3935-46eb-a222-66b0f8afb4ec,3,4,image_0007_image_0008,143.3628387451172,103.53982543945312,167.0056610107422,64.63152313232422,0.9997398994350366,0.001177845377589181,7.023909274662049,7.023909274662049,0.005705003680614227,0.9955291237224065,1.3086618008068573,1.3086618008068573,8.359289189100185e-06,-3.5117271934630704e-06,1.0,1.0,0.0,0.0,0.0,1.0
040250e0-f0e7-4e20-b391-99f5372f6778,3,4,image_0007_image_0008,167.2566375732422,103.53982543945312,113.61528015136719,81.7699966430664,0.9997398994350366,0.001177845377589181,7.023909274662049,7.023909274662049,0.005705003680614227,0.9955291237224065,1.3086618008068573,1.3086618008068573,8.359289189100185e-06,-3.5117271934630704e-06,1.0,1.0,0.0,0.0,0.0,1.0
