uuid,image1_index,image2_index,pair_id,method,threshold,x1,y1,x2,y2,confidence,r11,r12,r13,tx,r21,r22,r23,ty,r31,r32,r33,tz,h41,h42,h43,h44
d4dc204a-316c-493d-8b17-6a5b86ae8ee0,1,2,image_0005_image_0006,loftr,80.0,39.8230094909668,15.929203987121582,37.95420455932617,24.771827697753906,0.4819304049015045,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
3aa06143-ca6b-420e-acbd-ef5e8e30d227,1,2,image_0005_image_0006,loftr,80.0,47.78761291503906,15.929203987121582,45.90512466430664,25.75858497619629,0.6202818155288696,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
a892adae-fc58-4957-be26-5b25ea86f834,1,2,image_0005_image_0006,loftr,80.0,119.46903228759766,15.929203987121582,120.04942321777344,16.156116485595703,0.4567064642906189,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
b8814127-5ae6-4a06-8e5e-257d76fabf7c,1,2,image_0005_image_0006,loftr,80.0,127.43363189697266,15.929203987121582,128.55128479003906,14.736140251159668,0.8953230977058411,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
fb52e49b-5a27-40c8-810a-5c4fbace4a69,1,2,image_0005_image_0006,loftr,80.0,135.3982391357422,15.929203987121582,135.899658203125,15.211609840393066,0.6831964254379272,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
19b30c07-f875-4614-b576-13c3ae895483,1,2,image_0005_image_0006,loftr,80.0,143.3628387451172,15.929203987121582,141.58175659179688,16.113739013671875,0.20267711579799652,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
e1114e42-9d87-4ef5-99f1-e1c8e9770250,1,2,image_0005_image_0006,loftr,80.0,159.2920379638672,15.929203987121582,158.4468994140625,25.16350555419922,0.2807585597038269,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
325c150f-3b0a-40b8-85b6-e73c84e9822e,1,2,image_0005_image_0006,loftr,80.0,167.2566375732422,15.929203987121582,167.5917510986328,16.466928482055664,0.2830788493156433,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
e999507f-fcb9-4f1c-a24c-32cb17a9b3eb,1,2,image_0005_image_0006,loftr,80.0,39.8230094909668,23.89380645751953,40.62339782714844,33.01731872558594,0.2176857739686966,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
4e1a9df3-5f53-462c-a277-5fa4172b6f1e,1,2,image_0005_image_0006,loftr,80.0,47.78761291503906,23.89380645751953,48.02060317993164,32.7348518371582,0.3036589026451111,0.995271906843537,0.0037079213874766535,5.123795176358341,5.123795176358341,0.013325668853738242,0.9818589697900858,5.966559195315449,5.966559195315449,1.8026896920626613e-05,-1.3458226530669249e-05,1.0,1.0,0.0,0.0,0.0,1.0
